datetime,depth,depth_anom_all
2001-07-06,150.875,-40.91372620790631
2001-07-07,151.75,-40.03872620790631
2001-07-08,152.625,-39.16372620790631
2001-07-09,153.5,-38.28872620790631
2001-07-10,154.375,-37.41372620790631
2001-07-11,155.25,-36.53872620790631
2001-07-12,156.125,-35.66372620790631
2001-07-13,157.0,-34.78872620790631
2001-07-14,157.0,-34.78872620790631
2001-07-15,157.0,-34.78872620790631
2001-07-16,157.0,-34.78872620790631
2001-07-17,157.0,-34.78872620790631
2001-07-18,157.0,-34.78872620790631
2001-07-19,157.0,-34.78872620790631
2001-07-20,157.0,-34.78872620790631
2001-07-21,157.0,-34.78872620790631
2001-07-22,157.0,-34.78872620790631
2001-07-23,157.0,-34.78872620790631
2001-07-24,157.0,-34.78872620790631
2001-07-25,157.0,-34.78872620790631
2001-07-26,157.0,-34.78872620790631
2001-07-27,157.0,-34.78872620790631
2001-07-28,156.76,-35.02872620790632
2001-07-29,156.52,-35.2687262079063
2001-07-30,156.28,-35.50872620790631
2001-07-31,156.04,-35.748726207906316
2001-08-01,155.8,-35.988726207906296
2001-08-02,155.56,-36.228726207906305
2001-08-03,155.32,-36.468726207906315
2001-08-04,155.08,-36.708726207906295
2001-08-05,154.84,-36.948726207906304
2001-08-06,154.6,-37.18872620790631
2001-08-07,154.36,-37.428726207906294
2001-08-08,154.12,-37.6687262079063
2001-08-09,153.88,-37.90872620790631
2001-08-10,153.64,-38.14872620790632
2001-08-11,153.4,-38.3887262079063
2001-08-12,153.16,-38.62872620790631
2001-08-13,152.92,-38.86872620790632
2001-08-14,152.68,-39.1087262079063
2001-08-15,152.44,-39.34872620790631
2001-08-16,152.2,-39.58872620790632
2001-08-17,151.96,-39.8287262079063
2001-08-18,151.72,-40.06872620790631
2001-08-19,151.48,-40.30872620790632
2001-08-20,151.24,-40.5487262079063
2001-08-21,151.0,-40.78872620790631
2001-08-22,152.0,-39.78872620790631
2001-08-23,153.0,-38.78872620790631
2001-08-24,154.0,-37.78872620790631
2001-08-25,155.0,-36.78872620790631
2001-08-26,156.0,-35.78872620790631
2001-08-27,157.0,-34.78872620790631
2001-08-28,158.0,-33.78872620790631
2001-08-29,157.52941176470588,-34.259314443200424
2001-08-30,157.05882352941177,-34.72990267849454
2001-08-31,156.58823529411765,-35.200490913788656
2001-09-01,156.11764705882354,-35.67107914908277
2001-09-02,155.64705882352942,-36.14166738437689
2001-09-03,155.1764705882353,-36.612255619671004
2001-09-04,154.7058823529412,-37.08284385496512
2001-09-05,154.23529411764707,-37.553432090259236
2001-09-06,153.76470588235293,-38.02402032555338
2001-09-07,153.2941176470588,-38.494608560847496
2001-09-08,152.8235294117647,-38.96519679614161
2001-09-09,152.35294117647058,-39.43578503143573
2001-09-10,151.88235294117646,-39.906373266729844
2001-09-11,151.41176470588235,-40.37696150202396
2001-09-12,150.94117647058823,-40.847549737318076
2001-09-13,150.47058823529412,-41.31813797261219
2001-09-14,150.0,-41.78872620790631
2001-09-15,148.14285714285714,-43.64586906504917
2001-09-16,146.28571428571428,-45.50301192219203
2001-09-17,144.42857142857142,-47.36015477933489
2001-09-18,142.57142857142858,-49.217297636477724
2001-09-19,140.71428571428572,-51.074440493620585
2001-09-20,138.85714285714286,-52.93158335076345
2001-09-21,137.0,-54.78872620790631
2001-09-22,135.14285714285714,-56.64586906504917
2001-09-23,133.28571428571428,-58.50301192219203
2001-09-24,131.42857142857142,-60.36015477933489
2001-09-25,129.57142857142856,-62.21729763647775
2001-09-26,127.71428571428571,-64.0744404936206
